,StreetAddress,City,State,ZipCode,Latitude,Longitude,Price,YearBuilt,LotSize,HomeType,Zestimate,Bedrooms,Bathrooms,LivingArea,HOA,BrokerageName,LastSoldPrice,HomeStatus,Parking
79,2200 Agnew Rd APT 117,Santa Clara,CA,95054,37.392223,-121.96391,799000,1982,1648,CONDO,884389,2,2,1316,747,Intero Real Estate Services,312000,FOR_SALE,0
80,1549 Pratt Pl,Santa Clara,CA,95050,37.356308,-121.943504,1248000,2018,818,TOWNHOUSE,1592900,3,4,1840,265,Maxreal Property,1201608,FOR_SALE,0
81,961 Maryann Dr,Santa Clara,CA,95050,37.344707,-121.96749,1599000,1953,8367,SINGLE_FAMILY,1555500,4,2,1511,0,Coldwell Banker Realty,0,FOR_SALE,0
82,1880 Catherine St,Santa Clara,CA,95050,37.34975,-121.958755,1298000,1947,5858,SINGLE_FAMILY,1595700,2,2,1380,0,Maxreal Property,840000,FOR_SALE,0
83,936 Kiely Blvd UNIT I,Santa Clara,CA,95051,37.342937,-121.978676,575000,1971,924,CONDO,590800,2,1,882,515,Keller Williams Realty - Cupertino,370000,FOR_SALE,0
84,1883 Agnew Rd UNIT 218,Santa Clara,CA,95054,37.39546,-121.958046,638888,2006,435,CONDO,668171,1,1,870,409,TiJomann,344000,FOR_SALE,0
85,907 Civic Center Dr,Santa Clara,CA,95050,37.355953,-121.94669,1059888,1900,3802,SINGLE_FAMILY,1132100,4,2,992,0,Powerful Agents Real Estate Services,0,FOR_SALE,0
86,2120 Town & Country Ln,Santa Clara,CA,95050,37.33652,-121.95763,1665000,1962,7331,MULTI_FAMILY,1900700,5,4,2251,0,Atria Real Estate,865000,FOR_SALE,2
87,656 Scott Blvd,Santa Clara,CA,95050,37.3405,-121.95842,1499950,1947,6394,SINGLE_FAMILY,1818592,3,2,1390,0,Intero Real Estate Services,1200000,FOR_SALE,0
88,617 Kiely Blvd,Santa Clara,CA,95051,37.33351,-121.97358,1599000,1955,7387,SINGLE_FAMILY,1969500,3,2,1254,0,Montalvo Realty,0,FOR_SALE,0
89,4072 Lick Mill Blvd,Santa Clara,CA,95054,37.39744,-121.94435,1450000,2004,1263,TOWNHOUSE,1698700,3,3,1700,393,KW Silicon City,1488000,FOR_SALE,0
90,3901 Lick Mill Blvd APT 232,Santa Clara,CA,95054,37.396397,-121.94274,699888,2005,834,CONDO,735092,1,1,834,398,Redfin,335000,FOR_SALE,0
91,643 Scott Blvd,Santa Clara,CA,95050,37.3402,-121.95755,1799000,1947,7039,SINGLE_FAMILY,2097932,4,4,2160,0,KW Silicon City,938000,FOR_SALE,0
92,21743 Alcazar Ave,Cupertino,CA,95014,37.317863,-122.05489,1700000,1965,7562,SINGLE_FAMILY,2725300,3,2,1539,0,Intero Real Estate Services,0,FOR_SALE,1
93,7552 Heatherwood Dr,Cupertino,CA,95014,37.308956,-122.03796,2998000,1960,13873,SINGLE_FAMILY,3710427,4,3,2285,0,Coldwell Banker Realty,618000,FOR_SALE,0
94,10218 Mira Vista Rd,Cupertino,CA,95014,37.320087,-122.06463,2688000,1954,10332,SINGLE_FAMILY,2868000,4,3,2071,0,Compass,0,FOR_SALE,0
95,1480 Aster Ct,Cupertino,CA,95014,37.296394,-122.03957,2388000,1968,5998,SINGLE_FAMILY,3109600,4,3,1758,0,W Star Investment Inc,1660000,FOR_SALE,0
96,10532 Cedar Tree Ct,Cupertino,CA,95014,37.330704,-122.024025,2998000,1963,7753,SINGLE_FAMILY,3726900,4,3,1687,0,Intero Real Estate Services,592000,FOR_SALE,0
97,21062 Red Fir Ct,Cupertino,CA,95014,37.314377,-122.04267,999000,1971,1585,TOWNHOUSE,1067830,2,1,914,376,Maxreal,1265000,FOR_SALE,0
98,476 Walnut Dr,Milpitas,CA,95035,37.436134,-121.91612,1095900,1960,5929,SINGLE_FAMILY,1153600,3,1,980,0,Wisestream Inc.,902000,FOR_SALE,2
99,924 Smith Ln,Milpitas,CA,95035,37.43286,-121.888916,1490000,2012,1550,SINGLE_FAMILY,1751500,4,4,2147,155,Compass,0,FOR_SALE,0
100,420 Dempsey Rd UNIT 122,Milpitas,CA,95035,37.42827,-121.88359,649888,2007,1021,CONDO,707168,3,2,1021,525,RE/MAX Gold,190000,FOR_SALE,0
101,1421 S Milpitas Blvd,Milpitas,CA,95035,37.413914,-121.88748,749000,2018,344,CONDO,787300,1,2,910,0,Century 21 Realty Alliance,0,FOR_SALE,1
102,762 Hammond Way,Milpitas,CA,95035,37.420074,-121.90261,798888,2005,971,CONDO,893671,2,3,1192,318,Intero Real Estate Services,500000,FOR_SALE,0
103,760 Via Baja Dr,Milpitas,CA,95035,37.444355,-121.89486,2099000,1982,10092,SINGLE_FAMILY,2081500,4,3,2038,0,168 Realty,1230000,FOR_SALE,0
104,531 Greathouse Dr,Milpitas,CA,95035,37.45975,-121.90111,1249000,1961,5227,SINGLE_FAMILY,1524000,3,2,1085,0,"Exp Realty Of California, Inc",840000,FOR_SALE,2
105,40237 Davis Ct,Fremont,CA,94538,37.53544,-121.97337,1150000,1959,6703,SINGLE_FAMILY,1046500,3,2,1144,0,Realty ONE Group Zoom,540000,FOR_SALE,2
106,3832 Fiano Cmn,Fremont,CA,94555,37.578117,-122.044304,1388000,2016,2252,SINGLE_FAMILY,1558943,3,4,1868,144,Compass,1027000,FOR_SALE,0
107,37050 Meadowbrook Cmn APT 302,Fremont,CA,94536,37.562706,-122.007675,390000,1984,87,CONDO,401949,1,1,714,532,Coldwell Banker Realty,355000,FOR_SALE,1
108,341 De Leon Ave,Fremont,CA,94539,37.529224,-121.92322,1698000,1953,5022,SINGLE_FAMILY,1820100,4,2,1500,0,"Main Street Real Estate, Inc.",240000,FOR_SALE,1
109,39681 Catamaran Ct,Fremont,CA,94538,37.52932,-121.98998,999000,1961,5723,SINGLE_FAMILY,1242700,3,2,1067,0,The Property Network,365000,FOR_SALE,0
110,26 Sea Crest Ter,Fremont,CA,94536,37.570282,-121.96684,899980,1987,1951,TOWNHOUSE,1001510,2,3,1364,345,Compass,720000,FOR_SALE,0
111,34973 Silverlock Ct,Fremont,CA,94555,37.57356,-122.03041,1999000,1997,7405,SINGLE_FAMILY,1894100,5,3,2355,0,Intero Real Estate Services,362000,FOR_SALE,2
